Decade,UN_Geosheme_Subregion,Disaster_Type,RCP,Financial_Impact,Human_Impact,DO
2010,Northern Europe,Droughts,,0,0,1
2010,Northern Europe,Floods,,6595000,17,13
2010,Northern Europe,Storms,,1300500000,38300,15
2010,Polynesia,Droughts,,0,0,3
2010,Polynesia,Floods,,2000,0,1
2010,Polynesia,Storms,,178000000,115552,12
2010,South America,Droughts,,10924700,33697235,16
2010,South America,Floods,,13999100,3889,165
2010,South America,Storms,,150200000,123874,16
2010,South-Eastern Asia,Droughts,,10135599,25935847,15
2010,South-Eastern Asia,Floods,,54354901,5514,231
2010,South-Eastern Asia,Storms,,22331107000,88066955,132
2010,Southern Africa,Droughts,,1753000,7999159,13
2010,Southern Africa,Floods,,838000,364,22
2010,Southern Africa,Storms,,613000000,19744,9
2010,Southern Asia,Droughts,,4287000,362853003,9
2010,Southern Asia,Floods,,67240180,23305,209
2010,Southern Asia,Storms,,15446881000,44853044,91
2010,Southern Europe,Droughts,,3490000,0,2
2010,Southern Europe,Floods,,10399742,327,82
2010,Southern Europe,Storms,,4197000000,11242,25
2010,Western Africa,Droughts,,0,25455604,15
2010,Western Africa,Floods,,1150515,2114,102
2010,Western Africa,Storms,,2100000,44541,8
2010,Western Asia,Floods,,338000,607,58
2010,Western Asia,Storms,,2223822000,3327453,28
2010,Western Europe,Floods,,22632146,121,23
2010,Western Europe,Storms,,14361686000,503825,56
2020,Australia and New Zealand,Droughts,2.6,1586988000,3539991,13
2020,Australia and New Zealand,Droughts,4.5,1586988000,3539991,13
2020,Australia and New Zealand,Droughts,6.0,1586988000,3539991,13
2020,Australia and New Zealand,Droughts,8.5,1586988000,3539991,13
2020,Australia and New Zealand,Floods,2.6,697426300,565633,4
2020,Australia and New Zealand,Floods,4.5,697426300,565633,4
2020,Australia and New Zealand,Floods,6.0,348713150,282816,2
2020,Australia and New Zealand,Floods,8.5,348713150,282816,2
2020,Australia and New Zealand,Storms,2.6,43995000,13062,21
2020,Australia and New Zealand,Storms,4.5,43995000,13062,21
2020,Australia and New Zealand,Storms,6.0,43995000,13062,21
2020,Australia and New Zealand,Storms,8.5,41900000,12440,20
