,UN_Geosheme_Subregion,Decade,RCP,DO,°C,Disaster_Type,Human_Impact,Financial_Impact
337,Northern Africa,2060,4.5,5,24,Storms,9705,23665000
338,Northern Africa,2060,6.0,5,24,Storms,9705,23665000
339,Northern Africa,2060,8.5,6,25,Storms,11646,28398000
340,Northern Africa,2070,2.6,11,23,Storms,21351,52063000
341,Northern Africa,2070,4.5,9,24,Storms,17469,42597000
342,Northern Africa,2070,6.0,14,24,Storms,27174,66262000
343,Northern Africa,2070,8.5,6,26,Storms,11646,28398000
344,Northern Africa,2080,2.6,12,23,Storms,23292,56796000
345,Northern Africa,2080,4.5,10,24,Storms,19410,47330000
346,Northern Africa,2080,6.0,13,24,Storms,25233,61529000
347,Northern Africa,2080,8.5,9,26,Storms,17469,42597000
348,Northern Africa,2090,2.6,12,23,Storms,23292,56796000
349,Northern Africa,2090,4.5,10,24,Storms,19410,47330000
350,Northern Africa,2090,6.0,13,24,Storms,25233,61529000
351,Northern Africa,2090,8.5,9,26,Storms,17469,42597000
352,Northern America,2020,2.6,29,2,Storms,29783,89407000
353,Northern America,2020,4.5,27,2,Storms,27729,83241000
354,Northern America,2020,6.0,40,2,Storms,41080,123320000
355,Northern America,2020,8.5,28,3,Storms,28756,86324000
356,Northern America,2030,2.6,28,2,Storms,28756,86324000
357,Northern America,2030,4.5,28,3,Storms,28756,86324000
358,Northern America,2030,6.0,28,2,Storms,28756,86324000
359,Northern America,2030,8.5,26,3,Storms,26702,80158000
360,Northern America,2040,2.6,28,3,Storms,28756,86324000
361,Northern America,2040,4.5,28,3,Storms,28756,86324000
362,Northern America,2040,6.0,28,3,Storms,28756,86324000
363,Northern America,2040,8.5,27,4,Storms,27729,83241000
364,Northern America,2050,2.6,28,3,Storms,28756,86324000
365,Northern America,2050,4.5,28,3,Storms,28756,86324000
366,Northern America,2050,6.0,28,3,Storms,28756,86324000
367,Northern America,2050,8.5,26,4,Storms,26702,80158000
368,Northern America,2060,2.6,28,3,Storms,28756,86324000
369,Northern America,2060,4.5,27,4,Storms,27729,83241000
370,Northern America,2060,6.0,27,4,Storms,27729,83241000
371,Northern America,2060,8.5,27,6,Storms,27729,83241000
372,Northern America,2070,2.6,28,3,Storms,28756,86324000
373,Northern America,2070,4.5,27,4,Storms,27729,83241000
374,Northern America,2070,6.0,25,4,Storms,25675,77075000
375,Northern America,2070,8.5,27,6,Storms,27729,83241000
376,Northern America,2080,2.6,28,3,Storms,28756,86324000
377,Northern America,2080,4.5,26,4,Storms,26702,80158000
378,Northern America,2080,6.0,25,5,Storms,25675,77075000
379,Northern America,2080,8.5,28,7,Storms,28756,86324000
380,Northern America,2090,2.6,28,3,Storms,28756,86324000
381,Northern America,2090,4.5,26,4,Storms,26702,80158000
382,Northern America,2090,6.0,25,5,Storms,25675,77075000
383,Northern America,2090,8.5,28,7,Storms,28756,86324000
384,Northern Europe,2020,2.6,19,5,Storms,13547,80237000
385,Northern Europe,2020,4.5,19,6,Storms,13547,80237000
386,Northern Europe,2020,6.0,18,5,Storms,12834,76014000
387,Northern Europe,2020,8.5,19,6,Storms,13547,80237000
388,Northern Europe,2030,2.6,19,6,Storms,13547,80237000
389,Northern Europe,2030,4.5,20,6,Storms,14260,84460000
390,Northern Europe,2030,6.0,20,6,Storms,14260,84460000
391,Northern Europe,2030,8.5,23,6,Storms,16399,97129000
392,Northern Europe,2040,2.6,18,6,Storms,12834,76014000
393,Northern Europe,2040,4.5,23,6,Storms,16399,97129000
394,Northern Europe,2040,6.0,23,6,Storms,16399,97129000
395,Northern Europe,2040,8.5,20,6,Storms,14260,84460000
396,Northern Europe,2050,2.6,20,6,Storms,14260,84460000
397,Northern Europe,2050,4.5,22,6,Storms,15686,92906000
398,Northern Europe,2050,6.0,22,6,Storms,15686,92906000
399,Northern Europe,2050,8.5,18,7,Storms,12834,76014000
400,Northern Europe,2060,2.6,20,5,Storms,14260,84460000
401,Northern Europe,2060,4.5,22,6,Storms,15686,92906000
402,Northern Europe,2060,6.0,22,6,Storms,15686,92906000
403,Northern Europe,2060,8.5,18,7,Storms,12834,76014000
404,Northern Europe,2070,2.6,20,5,Storms,14260,84460000
405,Northern Europe,2070,4.5,22,6,Storms,15686,92906000
406,Northern Europe,2070,6.0,20,7,Storms,14260,84460000
407,Northern Europe,2070,8.5,17,8,Storms,12121,71791000
408,Northern Europe,2080,2.6,19,5,Storms,13547,80237000
409,Northern Europe,2080,4.5,21,6,Storms,14973,88683000
410,Northern Europe,2080,6.0,18,7,Storms,12834,76014000
411,Northern Europe,2080,8.5,21,8,Storms,14973,88683000
412,Northern Europe,2090,2.6,19,5,Storms,13547,80237000
413,Northern Europe,2090,4.5,21,6,Storms,14973,88683000
414,Northern Europe,2090,6.0,18,7,Storms,12834,76014000
415,Northern Europe,2090,8.5,21,8,Storms,14973,88683000
416,Polynesia,2020,2.6,4,27,Storms,1060,2356000
417,Polynesia,2020,4.5,4,27,Storms,1060,2356000
418,Polynesia,2020,6.0,4,27,Storms,1060,2356000
419,Polynesia,2020,8.5,3,27,Storms,795,1767000
420,Polynesia,2030,2.6,5,27,Storms,1325,2945000
421,Polynesia,2030,4.5,4,27,Storms,1060,2356000
422,Polynesia,2030,6.0,3,27,Storms,795,1767000
423,Polynesia,2030,8.5,3,27,Storms,795,1767000
424,Polynesia,2040,2.6,3,27,Storms,795,1767000
425,Polynesia,2040,4.5,4,27,Storms,1060,2356000
426,Polynesia,2040,6.0,3,27,Storms,795,1767000
427,Polynesia,2040,8.5,2,27,Storms,530,1178000
428,Polynesia,2050,2.6,3,27,Storms,795,1767000
429,Polynesia,2050,4.5,3,27,Storms,795,1767000
